sat1_id,sat1_name,sat2_id,sat2_name,miss_distance_km,relative_velocity_km_s,bstar_1,bstar_2,target_risk_score
81102,OBJECT_81102,33603,OBJECT_33603,3133.4308,13.811,0.0014501,0.00022302,0.0002
81102,OBJECT_81102,36423,OBJECT_36423,887.8177,6.6204,0.0014501,0.002995,0.0002
81102,OBJECT_81102,31820,OBJECT_31820,3546.3556,8.435,0.0014501,0.00060686,0.0002
81102,OBJECT_81102,35073,OBJECT_35073,1075.5248,8.5515,0.0014501,0.0026425,0.0002
81102,OBJECT_81102,31877,OBJECT_31877,558.8901,12.9624,0.0014501,0.00095912,0.0002
14699,OBJECT_14699,81102,OBJECT_81102,1512.7074,13.6786,0.00019022,0.0014501,0.0003
81102,OBJECT_81102,47015,OBJECT_47015,657.9494,14.0163,0.0014501,0.00047187000000000005,0.0002
13068,OBJECT_13068,81102,OBJECT_81102,1322.631,13.2026,0.00012312,0.0014501,0.0003
81102,OBJECT_81102,33728,OBJECT_33728,474.0015,13.985,0.0014501,0.00054407,0.0002
81102,OBJECT_81102,29944,OBJECT_29944,588.8187,13.6872,0.0014501,0.00037407,0.0002
81102,OBJECT_81102,30926,OBJECT_30926,3277.2836,14.3735,0.0014501,0.00022896,0.0002
19046,OBJECT_19046,81102,OBJECT_81102,375.7696,14.0367,0.0001893,0.0014501,0.0002
81102,OBJECT_81102,34856,OBJECT_34856,768.5659,14.3121,0.0014501,0.0012102,0.0002
81102,OBJECT_81102,30828,OBJECT_30828,2161.4671,12.4107,0.0014501,0.00081439,0.0002
42758,OBJECT_42758,81102,OBJECT_81102,1450.9475,7.3727,0.00017784,0.0014501,0.0003
81102,OBJECT_81102,35929,OBJECT_35929,1164.1339,11.3922,0.0014501,0.0020801,0.0002
29507,OBJECT_29507,81102,OBJECT_81102,702.7437,15.525,0.00018315,0.0014501,0.0002
12904,OBJECT_12904,81102,OBJECT_81102,1783.7557,9.9656,0.00016950000000000003,0.0014501,0.0003
81102,OBJECT_81102,30496,OBJECT_30496,572.9512,10.9085,0.0014501,0.00065777,0.0002
25876,OBJECT_25876,81102,OBJECT_81102,1363.457,9.8093,0.00021495,0.0014501,0.0002
81102,OBJECT_81102,32137,OBJECT_32137,3472.9808,11.0645,0.0014501,0.00039708,0.0002
81102,OBJECT_81102,81323,OBJECT_81323,1791.6141,8.0215,0.0014501,0.00089111,0.0002
81102,OBJECT_81102,34128,OBJECT_34128,785.7757,5.1072,0.0014501,0.0018186,0.0001
81102,OBJECT_81102,34036,OBJECT_34036,1535.3688,12.0492,0.0014501,0.003751,0.0002
81102,OBJECT_81102,37084,OBJECT_37084,505.8268,10.7077,0.0014501,0.00025584,0.0002
81102,OBJECT_81102,33795,OBJECT_33795,233.8808,14.2615,0.0014501,0.0009433,0.0002
81102,OBJECT_81102,40799,OBJECT_40799,2509.7623,13.9895,0.0014501,0.00025207,0.0002
81102,OBJECT_81102,30106,OBJECT_30106,345.5454,11.5344,0.0014501,0.0048257000000000005,0.0002
81102,OBJECT_81102,30979,OBJECT_30979,2222.5645,7.8103,0.0014501,0.00045886,0.0002
81102,OBJECT_81102,29868,OBJECT_29868,1770.534,15.6627,0.0014501,0.00027124,0.0002
81102,OBJECT_81102,37691,OBJECT_37691,1560.2293,8.7422,0.0014501,0.0014202000000000002,0.0002
81102,OBJECT_81102,89251,OBJECT_89251,4719.5353,6.3898,0.0014501,0.0018221000000000001,0.0002
81102,OBJECT_81102,84236,OBJECT_84236,3097.6304,5.3859,0.0014501,0.0031116,0.0001
81102,OBJECT_81102,30882,OBJECT_30882,1367.8778,14.4212,0.0014501,0.00045088,0.0002
81102,OBJECT_81102,35071,OBJECT_35071,777.1334,10.3685,0.0014501,0.00069255,0.0002
81102,OBJECT_81102,36050,OBJECT_36050,995.5017,8.2919,0.0014501,0.00038119,0.0002
81102,OBJECT_81102,46979,OBJECT_46979,833.9488,14.4533,0.0014501,0.0019347000000000001,0.0002
81102,OBJECT_81102,33811,OBJECT_33811,2008.3045,4.8455,0.0014501,0.0012647000000000001,0.0001
81102,OBJECT_81102,30095,OBJECT_30095,3197.4411,13.7861,0.0014501,0.0007628200000000001,0.0002
20262,OBJECT_20262,81102,OBJECT_81102,570.8334,6.1306,0.0001001,0.0014501,0.0002
81102,OBJECT_81102,37968,OBJECT_37968,1514.0888,3.8101,0.0014501,0.00023044000000000002,0.0
61046,OBJECT_61046,81102,OBJECT_81102,1179.7682,9.0737,0.0008220699999999999,0.0014501,0.0002
81102,OBJECT_81102,35484,OBJECT_35484,1056.4474,14.3782,0.0014501,0.00097739,0.0002
81102,OBJECT_81102,31536,OBJECT_31536,1096.5432,8.1333,0.0014501,0.0009231700000000001,0.0002
20261,OBJECT_20261,81102,OBJECT_81102,3015.6992,10.8662,0.0001047,0.0014501,0.0002
61049,OBJECT_61049,81102,OBJECT_81102,2293.6557,10.0739,0.00081994,0.0014501,0.0002
61047,OBJECT_61047,81102,OBJECT_81102,1491.9343,8.9993,7.2099e-05,0.0014501,0.0002
61048,OBJECT_61048,81102,OBJECT_81102,2183.9153,9.9876,0.001028,0.0014501,0.0002
81102,OBJECT_81102,87764,OBJECT_87764,2021.9948,9.964,0.0014501,0.0012734,0.0002
61045,OBJECT_61045,81102,OBJECT_81102,1757.0948,9.6817,-3.9697e-06,0.0014501,0.0002
81102,OBJECT_81102,36551,OBJECT_36551,515.5703,12.1865,0.0014501,0.0011727,0.0002
81102,OBJECT_81102,35905,OBJECT_35905,668.822,6.2601,0.0014501,0.00043423,0.0002
81102,OBJECT_81102,87271,OBJECT_87271,907.1802,13.8041,0.0014501,0.00082844,0.0002
67232,OBJECT_67232,81102,OBJECT_81102,639.5168,7.4845,0.00015115000000000001,0.0014501,0.0003
81102,OBJECT_81102,37717,OBJECT_37717,838.6342,14.8453,0.0014501,0.0022863000000000002,0.0002
81102,OBJECT_81102,34006,OBJECT_34006,1173.7974,11.6311,0.0014501,0.0035796,0.0002
81102,OBJECT_81102,34451,OBJECT_34451,1012.4179,14.033,0.0014501,0.0018258,0.0002
81102,OBJECT_81102,34955,OBJECT_34955,932.4183,3.4518,0.0014501,0.0005675,0.0
81102,OBJECT_81102,82180,OBJECT_82180,636.0536,13.3166,0.0014501,0.0010036,0.0002
81102,OBJECT_81102,31608,OBJECT_31608,4183.0027,12.7847,0.0014501,0.00017589,0.0002
26474,OBJECT_26474,81102,OBJECT_81102,1708.1193,13.739,0.00014459,0.0014501,0.0002
81102,OBJECT_81102,30660,OBJECT_30660,2098.1015,13.8928,0.0014501,0.0005886099999999999,0.0002
81102,OBJECT_81102,85237,OBJECT_85237,203.6296,13.4664,0.0014501,0.00043947,0.0002
81102,OBJECT_81102,31663,OBJECT_31663,290.9674,10.5444,0.0014501,0.00011959,0.0001
18958,OBJECT_18958,81102,OBJECT_81102,3592.5905,5.4349,0.00011868,0.0014501,0.0002
81102,OBJECT_81102,35223,OBJECT_35223,674.4079,15.558,0.0014501,0.00021793000000000002,0.0002
81102,OBJECT_81102,33655,OBJECT_33655,816.3227,13.8104,0.0014501,0.0016467,0.0002
81102,OBJECT_81102,40996,OBJECT_40996,683.8552,14.7826,0.0014501,0.0024665999999999998,0.0002
81102,OBJECT_81102,81995,OBJECT_81995,2294.1025,9.2485,0.0014501,0.00028793000000000004,0.0002
81102,OBJECT_81102,34449,OBJECT_34449,309.3732,14.1812,0.0014501,0.0018706,0.0002
81102,OBJECT_81102,31631,OBJECT_31631,1143.1838,12.4224,0.0014501,0.010713,0.0002
81102,OBJECT_81102,30694,OBJECT_30694,731.8967,15.2383,0.0014501,0.00025058000000000003,0.0002
13154,OBJECT_13154,81102,OBJECT_81102,1079.2559,9.5534,0.00011728,0.0014501,0.0003
81102,OBJECT_81102,46971,OBJECT_46971,1419.249,13.3738,0.0014501,0.0015969,0.0002
81102,OBJECT_81102,30888,OBJECT_30888,366.1761,15.731,0.0014501,0.00081748,0.0002
81102,OBJECT_81102,30879,OBJECT_30879,1285.4379,7.5998,0.0014501,0.0011754,0.0002
81102,OBJECT_81102,34752,OBJECT_34752,932.8436,11.812,0.0014501,0.0006682900000000001,0.0002
81102,OBJECT_81102,81969,OBJECT_81969,3982.3502,9.1091,0.0014501,0.00045626,0.0002
81102,OBJECT_81102,37316,OBJECT_37316,344.5253,13.1655,0.0014501,0.0018346999999999999,0.0002
81102,OBJECT_81102,40794,OBJECT_40794,1354.2926,12.3398,0.0014501,0.0017699,0.0002
81102,OBJECT_81102,31937,OBJECT_31937,2321.5837,12.61,0.0014501,0.00026792,0.0002
81102,OBJECT_81102,37496,OBJECT_37496,61.3542,8.3604,0.0014501,0.0015279000000000002,0.0002
81102,OBJECT_81102,34118,OBJECT_34118,1177.5991,4.2132,0.0014501,0.0010623000000000002,0.0001
81102,OBJECT_81102,87293,OBJECT_87293,1572.4575,9.9579,0.0014501,0.00049347,0.0002
81102,OBJECT_81102,35898,OBJECT_35898,699.9881,6.5179,0.0014501,0.00034238000000000004,0.0002
81102,OBJECT_81102,30826,OBJECT_30826,5367.3146,8.3227,0.0014501,0.00027426,0.0002
81102,OBJECT_81102,47116,OBJECT_47116,308.5014,4.0255,0.0014501,0.0015581999999999998,0.0001
20666,OBJECT_20666,81102,OBJECT_81102,58.1906,6.1304,0.00010993,0.0014501,0.0003
81102,OBJECT_81102,31695,OBJECT_31695,772.2593,14.2071,0.0014501,0.0013126,0.0002
81102,OBJECT_81102,32314,OBJECT_32314,3647.2996,11.6523,0.0014501,0.00068528,0.0002
81102,OBJECT_81102,29771,OBJECT_29771,1215.2759,8.1203,0.0014501,0.0054156000000000004,0.0002
81102,OBJECT_81102,31758,OBJECT_31758,533.4366,15.2743,0.0014501,0.0015098000000000002,0.0002
81102,OBJECT_81102,87245,OBJECT_87245,802.0208,2.8832,0.0014501,0.00070824,0.0
81102,OBJECT_81102,29833,OBJECT_29833,822.0025,15.8175,0.0014501,0.00059249,0.0002
20465,OBJECT_20465,81102,OBJECT_81102,1437.4915,14.6691,0.0001946,0.0014501,0.0002
29228,OBJECT_29228,81102,OBJECT_81102,83.9312,8.2864,0.00010603,0.0014501,0.0002
57800,OBJECT_57800,81102,OBJECT_81102,654.5768,10.5253,0.00017725,0.0014501,0.0003
81102,OBJECT_81102,36258,OBJECT_36258,1693.5201,14.1136,0.0014501,0.00024668,0.0002
81102,OBJECT_81102,40695,OBJECT_40695,1439.8776,10.5382,0.0014501,3.8577e-05,0.0001
81102,OBJECT_81102,31231,OBJECT_31231,4367.0074,9.1925,0.0014501,0.0014201,0.0002
81102,OBJECT_81102,36047,OBJECT_36047,415.4472,9.3512,0.0014501,0.0011194,0.0002
69589,OBJECT_69589,81102,OBJECT_81102,1615.8789,10.9717,9.6925e-05,0.0014501,0.0002
69590,OBJECT_69590,81102,OBJECT_81102,1518.9528,11.1501,9.7154e-05,0.0014501,0.0002
69591,OBJECT_69591,81102,OBJECT_81102,1619.5425,11.0135,0.00010879,0.0014501,0.0003
81102,OBJECT_81102,31441,OBJECT_31441,1106.8821,8.5036,0.0014501,0.0040788000000000005,0.0002
81102,OBJECT_81102,89172,OBJECT_89172,1190.4334,12.5746,0.0014501,0.0015762999999999999,0.0002
81102,OBJECT_81102,32350,OBJECT_32350,543.1373,14.7702,0.0014501,0.00026742,0.0002
81102,OBJECT_81102,33625,OBJECT_33625,972.3103,12.4173,0.0014501,0.00045425,0.0002
81102,OBJECT_81102,35153,OBJECT_35153,2090.4687,9.8858,0.0014501,0.00021859,0.0002
81102,OBJECT_81102,41011,OBJECT_41011,1319.4284,13.5684,0.0014501,0.00022791,0.0002
41337,OBJECT_41337,81102,OBJECT_81102,1934.0504,8.1432,0.00012778,0.0014501,0.0003
81102,OBJECT_81102,30960,OBJECT_30960,1828.7681,11.012,0.0014501,0.0004286,0.0002
81102,OBJECT_81102,31678,OBJECT_31678,1529.286,12.5893,0.0014501,0.00041860000000000004,0.0002
81102,OBJECT_81102,31057,OBJECT_31057,794.4002,14.4125,0.0014501,0.00028237,0.0002
81102,OBJECT_81102,31187,OBJECT_31187,1512.702,7.5769,0.0014501,0.0012247,0.0002
81102,OBJECT_81102,32125,OBJECT_32125,488.6392,15.4776,0.0014501,0.00054162,0.0002
81102,OBJECT_81102,38783,OBJECT_38783,729.2611,14.2727,0.0014501,0.0010392,0.0002
81102,OBJECT_81102,34486,OBJECT_34486,520.9543,15.1115,0.0014501,0.0015849,0.0002
81102,OBJECT_81102,38220,OBJECT_38220,1089.5998,14.531,0.0014501,0.0019145000000000002,0.0002
81102,OBJECT_81102,38062,OBJECT_38062,1762.1924,4.9427,0.0014501,0.0014044,0.0001
81102,OBJECT_81102,37056,OBJECT_37056,352.2776,14.9777,0.0014501,0.00028294999999999997,0.0002
81102,OBJECT_81102,30418,OBJECT_30418,3883.2767,8.4031,0.0014501,0.00038578,0.0002
81102,OBJECT_81102,87163,OBJECT_87163,622.2343,11.1652,0.0014501,0.00035155,0.0002
81102,OBJECT_81102,30641,OBJECT_30641,2366.5386,13.0129,0.0014501,0.00056965,0.0002
81102,OBJECT_81102,29865,OBJECT_29865,1798.0572,11.7193,0.0014501,0.00068348,0.0002
81102,OBJECT_81102,87517,OBJECT_87517,1051.9189,11.5399,0.0014501,0.0011836000000000001,0.0002
81102,OBJECT_81102,35023,OBJECT_35023,4455.3088,6.2248,0.0014501,0.0011691,0.0002
81102,OBJECT_81102,30546,OBJECT_30546,2243.8495,7.5636,0.0014501,0.00055868,0.0002
81102,OBJECT_81102,30017,OBJECT_30017,1420.6591,13.9531,0.0014501,0.00015029,0.0001
81102,OBJECT_81102,36000,OBJECT_36000,1057.2761,13.7523,0.0014501,0.001719,0.0002
81102,OBJECT_81102,36028,OBJECT_36028,720.8994,10.9807,0.0014501,0.0015024,0.0002
81102,OBJECT_81102,30840,OBJECT_30840,521.3309,15.2619,0.0014501,0.00035079,0.0002
81102,OBJECT_81102,35243,OBJECT_35243,2748.8508,13.831,0.0014501,0.0020509,0.0002
81102,OBJECT_81102,30971,OBJECT_30971,881.4636,14.2219,0.0014501,0.00053027,0.0002
81102,OBJECT_81102,30338,OBJECT_30338,1447.3242,14.0186,0.0014501,0.0009188,0.0002
81102,OBJECT_81102,81329,OBJECT_81329,4146.0427,14.2203,0.0014501,0.00038338,0.0002
20663,OBJECT_20663,81102,OBJECT_81102,2101.726,3.7268,0.00013085,0.0014501,0.0001
81102,OBJECT_81102,31761,OBJECT_31761,1607.0511,6.265,0.0014501,0.0007406,0.0002
3230,OBJECT_03230,81102,OBJECT_81102,1228.1136,12.423,0.00021173,0.0014501,0.0002
21397,OBJECT_21397,81102,OBJECT_81102,2379.2286,9.7557,0.0001406,0.0014501,0.0003
81102,OBJECT_81102,29856,OBJECT_29856,857.9104,13.1727,0.0014501,0.0016194,0.0002
81102,OBJECT_81102,35661,OBJECT_35661,904.4026,13.6058,0.0014501,0.00035914000000000003,0.0002
81102,OBJECT_81102,82402,OBJECT_82402,1288.7545,8.253,0.0014501,0.00029421000000000004,0.0002
81102,OBJECT_81102,29866,OBJECT_29866,588.5854,14.1003,0.0014501,0.00015141,0.0001
81102,OBJECT_81102,34088,OBJECT_34088,865.3142,14.7141,0.0014501,0.0018754000000000002,0.0002
81102,OBJECT_81102,31878,OBJECT_31878,1891.3518,14.0959,0.0014501,0.00040994,0.0002
81102,OBJECT_81102,30169,OBJECT_30169,972.8182,14.2662,0.0014501,0.0016119,0.0002
81102,OBJECT_81102,35703,OBJECT_35703,2680.9236,14.0359,0.0014501,0.00042065,0.0002
81102,OBJECT_81102,82448,OBJECT_82448,861.5217,6.6615,0.0014501,0.00038159,0.0002
81052,OBJECT_81052,81102,OBJECT_81102,830.3007,2.8206,0.00043442,0.0014501,0.0
81102,OBJECT_81102,81343,OBJECT_81343,1128.6886,6.741,0.0014501,0.00036393,0.0002
81102,OBJECT_81102,30297,OBJECT_30297,1202.388,12.4867,0.0014501,0.0014199,0.0002
81102,OBJECT_81102,35670,OBJECT_35670,1406.5355,14.6056,0.0014501,0.00078292,0.0002
81102,OBJECT_81102,30912,OBJECT_30912,3640.9139,8.4973,0.0014501,0.00093588,0.0002
81102,OBJECT_81102,30686,OBJECT_30686,455.2683,6.3736,0.0014501,0.00047219,0.0002
